16:10:48.513 -> off_100ms,on_200ms,on_150ms,on_100ms,on_50ms,on_20ms,on_10ms
16:14:09.321 -> 7,602,456,308,157,67,36
16:14:09.930 -> 10,602,455,307,157,68,35
16:14:10.587 -> 8,602,456,308,157,67,33
16:14:11.196 -> 9,603,457,307,156,68,38
16:14:11.852 -> 10,602,456,307,158,67,37
16:14:12.462 -> 9,603,456,307,158,66,36
16:14:13.119 -> 7,602,456,308,157,66,36
16:14:13.727 -> 6,603,456,307,157,68,35
16:14:14.384 -> 10,602,455,307,158,67,37
16:14:14.993 -> 10,603,457,308,157,66,36
16:14:15.602 -> 8,602,456,308,157,67,34
16:14:16.258 -> 7,603,455,307,157,66,37
16:14:16.886 -> 6,603,457,308,158,67,37
16:14:17.519 -> 7,602,456,308,157,66,36
16:14:18.151 -> 10,603,456,307,157,67,37
16:14:18.807 -> 8,603,456,307,157,66,36
16:14:19.416 -> 9,603,456,308,158,67,36
16:14:20.072 -> 7,602,456,306,158,67,35
16:14:20.682 -> 6,603,456,307,157,67,36
16:14:21.338 -> 7,603,456,307,158,65,37
16:14:21.947 -> 7,602,457,308,157,67,36
16:14:22.606 -> 6,603,455,308,157,67,36
16:14:23.217 -> 7,602,457,307,157,66,37
16:14:23.827 -> 9,604,456,308,157,67,36
16:14:24.483 -> 10,603,455,308,158,67,36
16:14:25.092 -> 8,602,456,308,156,66,35
16:14:25.748 -> 6,604,457,307,157,66,37
16:14:26.357 -> 7,603,457,307,158,67,37
16:14:27.013 -> 10,604,456,308,158,67,35
16:14:27.623 -> 6,603,457,308,157,66,35
16:14:28.279 -> 7,603,457,309,158,65,38
16:14:28.888 -> 8,603,456,308,157,66,37
16:14:29.544 -> 6,604,456,308,157,65,37
16:14:30.153 -> 6,604,457,308,157,65,37
16:14:30.762 -> 10,604,456,308,157,68,35
16:14:31.418 -> 10,604,457,308,157,66,37
16:14:32.028 -> 10,605,457,309,158,66,35
16:14:32.684 -> 10,604,457,307,158,67,35
16:14:33.292 -> 8,604,458,308,158,67,35
16:14:33.940 -> 10,604,456,309,157,67,35
16:14:34.596 -> 10,603,456,308,157,67,35
16:14:35.205 -> 10,604,457,309,156,65,35
16:14:35.814 -> 10,604,456,307,157,68,38
16:14:36.470 -> 7,604,456,308,159,66,34
16:14:37.080 -> 6,603,457,308,157,68,35
16:14:37.736 -> 6,605,457,308,159,67,36
16:14:38.345 -> 6,604,456,307,157,67,36
16:14:39.001 -> 6,605,457,308,158,68,37
16:14:39.610 -> 6,605,457,307,157,68,36
16:14:40.266 -> 7,605,458,307,158,67,37
16:14:40.876 -> 8,604,456,308,157,66,35
16:14:41.532 -> 9,605,458,308,158,66,38
16:14:42.176 -> 7,605,457,308,158,67,36
16:14:42.785 -> 8,604,456,309,157,67,35
16:14:43.394 -> 6,604,456,308,158,68,37
16:14:44.050 -> 10,604,457,307,158,67,36
16:14:44.660 -> 6,605,456,308,157,67,34
16:14:45.316 -> 8,604,457,308,158,67,38
16:14:45.925 -> 10,604,457,309,159,67,36
16:14:46.581 -> 10,605,457,309,158,66,36
16:14:47.186 -> 10,604,457,308,158,67,35
16:14:47.810 -> 7,605,457,308,157,67,38
16:14:48.467 -> 9,604,456,307,157,67,36
16:14:49.076 -> 10,605,458,308,157,67,37
16:14:49.732 -> 10,604,457,308,158,66,35
16:14:50.343 -> 10,604,458,308,158,67,36
16:14:50.999 -> 9,605,457,309,158,67,37
16:14:51.608 -> 9,604,458,309,157,65,36
16:14:52.252 -> 10,605,457,309,157,68,37
16:14:52.876 -> 9,604,457,309,158,65,38
16:14:53.533 -> 10,605,457,307,158,66,36
16:14:54.142 -> 6,604,457,308,157,68,36
16:14:54.798 -> 7,605,457,307,158,67,38
16:14:55.409 -> 10,605,458,308,158,67,38
16:14:56.065 -> 6,605,458,309,158,67,37
16:14:56.674 -> 6,605,458,308,157,67,37
16:14:57.312 -> 9,605,459,308,157,67,38
16:14:57.931 -> 6,606,458,308,157,67,36
16:14:58.587 -> 6,605,457,309,158,66,36
16:14:59.196 -> 10,605,458,308,157,66,37
16:14:59.852 -> 7,605,458,308,158,66,37
16:15:00.462 -> 10,605,458,309,159,67,36
16:15:01.071 -> 10,606,458,308,158,67,35
16:15:01.727 -> 10,605,457,309,158,65,36
16:15:02.336 -> 10,606,457,309,157,68,35
16:15:02.970 -> 10,605,458,308,157,66,37
16:15:03.627 -> 10,605,458,310,159,67,35
16:15:04.237 -> 9,606,459,308,158,68,37
16:15:04.881 -> 7,606,458,309,156,67,37
