i_d	V(n003)
1.560749963092042e-06	1.015407e+00
1.584893192461043e-06	1.015955e+00
1.609409893262463e-06	1.016504e+00
1.634305842723064e-06	1.017052e+00
1.659586907437486e-06	1.017600e+00
1.685259044750675e-06	1.018149e+00
1.711328304161703e-06	1.018697e+00
1.737800828749297e-06	1.019246e+00
1.764682856619420e-06	1.019794e+00
1.791980722375252e-06	1.020343e+00
1.819700858609901e-06	1.020891e+00
1.847849797422207e-06	1.021439e+00
1.876434171956000e-06	1.021988e+00
1.905460717963160e-06	1.022536e+00
1.934936275390864e-06	1.023085e+00
1.964867789993377e-06	1.023633e+00
1.995262314968788e-06	1.024182e+00
2.026127012621050e-06	1.024730e+00
2.057469156047744e-06	1.025278e+00
2.089296130853943e-06	1.025827e+00
2.121615436892586e-06	1.026375e+00
2.154434690031784e-06	1.026924e+00
2.187761623949451e-06	1.027472e+00
2.221604091955708e-06	1.028021e+00
2.255970068843471e-06	1.028569e+00
2.290867652767666e-06	1.029117e+00
2.326305067153517e-06	1.029666e+00
2.362290662634351e-06	1.030214e+00
2.398832919019378e-06	1.030763e+00
2.435940447291912e-06	1.031311e+00
2.473621991638505e-06	1.031860e+00
2.511886431509462e-06	1.032408e+00
2.550742783711238e-06	1.032956e+00
2.590200204531201e-06	1.033505e+00
2.630267991895257e-06	1.034053e+00
2.670955587558858e-06	1.034602e+00
2.712272579331899e-06	1.035150e+00
2.754228703338035e-06	1.035699e+00
2.796833846308943e-06	1.036247e+00
2.840098047914079e-06	1.036795e+00
2.884031503126468e-06	1.037344e+00
2.928644564625096e-06	1.037892e+00
2.973947745234463e-06	1.038441e+00
3.019951720401871e-06	1.038989e+00
3.066667330713035e-06	1.039538e+00
3.114105584446609e-06	1.040086e+00
3.162277660168226e-06	1.040635e+00
3.211194909364667e-06	1.041183e+00
3.260868859118775e-06	1.041731e+00
3.311311214825750e-06	1.042280e+00
3.362533862951463e-06	1.042828e+00
3.414548873833435e-06	1.043377e+00
3.467368504525147e-06	1.043925e+00
3.521005201684347e-06	1.044474e+00
3.575471604506038e-06	1.045022e+00
3.630780547700835e-06	1.045570e+00
3.686945064519394e-06	1.046119e+00
3.743978389823627e-06	1.046667e+00
3.801893963205425e-06	1.047216e+00
3.860705432153623e-06	1.047764e+00
3.920426655269958e-06	1.048313e+00
3.981071705534775e-06	1.048861e+00
4.042654873623242e-06	1.049410e+00
4.105190671272875e-06	1.049958e+00
4.168693834703146e-06	1.050507e+00
4.233179328087997e-06	1.051055e+00
4.298662347082062e-06	1.051603e+00
4.365158322401441e-06	1.052152e+00
4.432682923459867e-06	1.052700e+00
4.501252062061111e-06	1.053249e+00
4.570881896148521e-06	1.053797e+00
4.641588833612546e-06	1.054346e+00
4.713389536157168e-06	1.054894e+00
4.786300923226143e-06	1.055443e+00
4.860340175989973e-06	1.055991e+00
4.935524741394558e-06	1.056540e+00
5.011872336272470e-06	1.057088e+00
5.089400951517832e-06	1.057636e+00
5.168128856325773e-06	1.058185e+00
5.248074602497461e-06	1.058733e+00
5.329257028811734e-06	1.059282e+00
5.411695265464362e-06	1.059830e+00
5.495408738575966e-06	1.060379e+00
5.580417174769681e-06	1.060927e+00
5.666740605819624e-06	1.061476e+00
5.754399373371276e-06	1.062024e+00
5.843414133734878e-06	1.062573e+00
5.933805862752977e-06	1.063121e+00
6.025595860743270e-06	1.063670e+00
6.118805757517907e-06	1.064218e+00
6.213457517480439e-06	1.064767e+00
6.309573444801609e-06	1.065315e+00
6.407176188675209e-06	1.065863e+00
6.506288748655237e-06	1.066412e+00
6.606934480075620e-06	1.066960e+00
6.709137099553766e-06	1.067509e+00
6.812920690579261e-06	1.068057e+00
6.918309709189008e-06	1.068606e+00
7.025328989730158e-06	1.069154e+00
7.134003750712193e-06	1.069703e+00
7.244359600749526e-06	1.070251e+00
7.356422544596032e-06	1.070800e+00
7.470218989272929e-06	1.071348e+00
7.585775750291443e-06	1.071897e+00
7.703120057971745e-06	1.072445e+00
7.822279563859618e-06	1.072994e+00
