v_ds2	Id(M2)
4.059999999999958e+00	3.384239e-08
4.069999999999958e+00	3.392574e-08
4.079999999999957e+00	3.400908e-08
4.089999999999957e+00	3.409242e-08
4.099999999999957e+00	3.417577e-08
4.109999999999957e+00	3.425911e-08
4.119999999999957e+00	3.434245e-08
4.129999999999956e+00	3.442580e-08
4.139999999999956e+00	3.450914e-08
4.149999999999956e+00	3.459248e-08
4.159999999999956e+00	3.467582e-08
4.169999999999956e+00	3.475917e-08
4.179999999999955e+00	3.484251e-08
4.189999999999955e+00	3.492586e-08
4.199999999999955e+00	3.500920e-08
4.209999999999955e+00	3.509254e-08
4.219999999999954e+00	3.517588e-08
4.229999999999954e+00	3.525923e-08
4.239999999999954e+00	3.534257e-08
4.249999999999954e+00	3.542592e-08
4.259999999999954e+00	3.550926e-08
4.269999999999953e+00	3.559260e-08
4.279999999999953e+00	3.567595e-08
4.289999999999953e+00	3.575929e-08
4.299999999999953e+00	3.584263e-08
4.309999999999953e+00	3.592598e-08
4.319999999999952e+00	3.600932e-08
4.329999999999952e+00	3.609266e-08
4.339999999999952e+00	3.617600e-08
4.349999999999952e+00	3.625935e-08
4.359999999999951e+00	3.634269e-08
4.369999999999951e+00	3.642604e-08
4.379999999999951e+00	3.650938e-08
4.389999999999951e+00	3.659272e-08
4.399999999999951e+00	3.667607e-08
4.409999999999950e+00	3.675941e-08
4.419999999999950e+00	3.684275e-08
4.429999999999950e+00	3.692610e-08
4.439999999999950e+00	3.700944e-08
4.449999999999950e+00	3.709278e-08
4.459999999999949e+00	3.717613e-08
4.469999999999949e+00	3.725947e-08
4.479999999999949e+00	3.734281e-08
4.489999999999949e+00	3.742615e-08
4.499999999999948e+00	3.750950e-08
4.509999999999948e+00	3.759284e-08
4.519999999999948e+00	3.767619e-08
4.529999999999948e+00	3.775953e-08
4.539999999999948e+00	3.784287e-08
4.549999999999947e+00	3.792622e-08
4.559999999999947e+00	3.800956e-08
4.569999999999947e+00	3.809290e-08
4.579999999999947e+00	3.817625e-08
4.589999999999947e+00	3.825959e-08
4.599999999999946e+00	3.834293e-08
4.609999999999946e+00	3.842628e-08
4.619999999999946e+00	3.850962e-08
4.629999999999946e+00	3.859296e-08
4.639999999999946e+00	3.867630e-08
4.649999999999945e+00	3.875965e-08
4.659999999999945e+00	3.884299e-08
4.669999999999945e+00	3.892634e-08
4.679999999999945e+00	3.900968e-08
4.689999999999944e+00	3.909302e-08
4.699999999999944e+00	3.917636e-08
4.709999999999944e+00	3.925971e-08
4.719999999999944e+00	3.934305e-08
4.729999999999944e+00	3.942640e-08
4.739999999999943e+00	3.950974e-08
4.749999999999943e+00	3.959308e-08
4.759999999999943e+00	3.967643e-08
4.769999999999943e+00	3.975977e-08
4.779999999999943e+00	3.984311e-08
4.789999999999942e+00	3.992646e-08
4.799999999999942e+00	4.000980e-08
4.809999999999942e+00	4.009314e-08
4.819999999999942e+00	4.017648e-08
4.829999999999941e+00	4.025983e-08
4.839999999999941e+00	4.034317e-08
