pulse	I(D2)
2.339999999999995e+00	1.495323e-02
2.349999999999994e+00	1.551224e-02
2.359999999999994e+00	1.608058e-02
2.369999999999994e+00	1.665822e-02
2.379999999999994e+00	1.724510e-02
2.389999999999993e+00	1.784118e-02
2.399999999999993e+00	1.844641e-02
2.409999999999993e+00	1.906076e-02
2.419999999999993e+00	1.968418e-02
2.429999999999993e+00	2.031663e-02
2.439999999999992e+00	2.095806e-02
2.449999999999992e+00	2.160843e-02
2.459999999999992e+00	2.226771e-02
2.469999999999992e+00	2.293584e-02
2.479999999999992e+00	2.361279e-02
2.489999999999991e+00	2.429852e-02
2.499999999999991e+00	2.499299e-02
2.509999999999991e+00	2.569615e-02
2.519999999999991e+00	2.640797e-02
2.529999999999990e+00	2.712841e-02
2.539999999999990e+00	2.785742e-02
2.549999999999990e+00	2.859498e-02
2.559999999999990e+00	2.934103e-02
2.569999999999990e+00	3.009554e-02
2.579999999999989e+00	3.085848e-02
2.589999999999989e+00	3.162980e-02
2.599999999999989e+00	3.240948e-02
2.609999999999989e+00	3.319746e-02
2.619999999999989e+00	3.399372e-02
2.629999999999988e+00	3.479821e-02
2.639999999999988e+00	3.561090e-02
2.649999999999988e+00	3.643176e-02
2.659999999999988e+00	3.726074e-02
2.669999999999987e+00	3.809782e-02
2.679999999999987e+00	3.894296e-02
2.689999999999987e+00	3.979612e-02
2.699999999999987e+00	4.065726e-02
2.709999999999987e+00	4.152636e-02
2.719999999999986e+00	4.240338e-02
2.729999999999986e+00	4.328828e-02
2.739999999999986e+00	4.418103e-02
2.749999999999986e+00	4.508160e-02
2.759999999999986e+00	4.598995e-02
2.769999999999985e+00	4.690605e-02
2.779999999999985e+00	4.782986e-02
2.789999999999985e+00	4.876136e-02
2.799999999999985e+00	4.970052e-02
2.809999999999985e+00	5.064729e-02
2.819999999999984e+00	5.160165e-02
2.829999999999984e+00	5.256356e-02
2.839999999999984e+00	5.353300e-02
2.849999999999984e+00	5.450993e-02
2.859999999999983e+00	5.549433e-02
2.869999999999983e+00	5.648615e-02
2.879999999999983e+00	5.748538e-02
2.889999999999983e+00	5.849197e-02
2.899999999999983e+00	5.950590e-02
2.909999999999982e+00	6.052714e-02
2.919999999999982e+00	6.155566e-02
2.929999999999982e+00	6.259143e-02
2.939999999999982e+00	6.363442e-02
2.949999999999982e+00	6.468460e-02
2.959999999999981e+00	6.574194e-02
2.969999999999981e+00	6.680641e-02
2.979999999999981e+00	6.787799e-02
2.989999999999981e+00	6.895665e-02
2.999999999999980e+00	6.995656e-02
3.009999999999980e+00	7.079928e-02
3.019999999999980e+00	7.153293e-02
3.029999999999980e+00	7.218574e-02
3.039999999999980e+00	7.277562e-02
3.049999999999979e+00	7.331480e-02
3.059999999999979e+00	7.381206e-02
3.069999999999979e+00	7.427394e-02
3.079999999999979e+00	7.470547e-02
3.089999999999979e+00	7.511064e-02
3.099999999999978e+00	7.549261e-02
3.109999999999978e+00	7.585403e-02
3.119999999999978e+00	7.619704e-02
3.129999999999978e+00	7.652350e-02
3.139999999999977e+00	7.683494e-02
3.149999999999977e+00	7.713269e-02
3.159999999999977e+00	7.741793e-02
3.169999999999977e+00	7.769166e-02
3.179999999999977e+00	7.795475e-02
