i1	V(n008)
3.686945064519515e-05	1.128406e+00
3.743978389823749e-05	1.128955e+00
3.801893963205549e-05	1.129504e+00
3.860705432153749e-05	1.130053e+00
3.920426655270086e-05	1.130601e+00
3.981071705534905e-05	1.131150e+00
4.042654873623374e-05	1.131699e+00
4.105190671273009e-05	1.132248e+00
4.168693834703283e-05	1.132797e+00
4.233179328088136e-05	1.133346e+00
4.298662347082203e-05	1.133895e+00
4.365158322401584e-05	1.134444e+00
4.432682923460011e-05	1.134993e+00
4.501252062061257e-05	1.135542e+00
4.570881896148670e-05	1.136091e+00
4.641588833612696e-05	1.136640e+00
4.713389536157321e-05	1.137189e+00
4.786300923226298e-05	1.137738e+00
4.860340175990131e-05	1.138287e+00
4.935524741394718e-05	1.138836e+00
5.011872336272632e-05	1.139385e+00
5.089400951517998e-05	1.139934e+00
5.168128856325940e-05	1.140483e+00
5.248074602497630e-05	1.141032e+00
5.329257028811906e-05	1.141581e+00
5.411695265464537e-05	1.142130e+00
5.495408738576144e-05	1.142679e+00
5.580417174769861e-05	1.143228e+00
5.666740605819806e-05	1.143777e+00
5.754399373371461e-05	1.144327e+00
5.843414133735066e-05	1.144876e+00
5.933805862753168e-05	1.145425e+00
6.025595860743463e-05	1.145974e+00
6.118805757518103e-05	1.146523e+00
6.213457517480638e-05	1.147072e+00
6.309573444801811e-05	1.147622e+00
6.407176188675414e-05	1.148171e+00
6.506288748655446e-05	1.148720e+00
6.606934480075832e-05	1.149269e+00
6.709137099553982e-05	1.149818e+00
6.812920690579480e-05	1.150368e+00
6.918309709189228e-05	1.150917e+00
7.025328989730381e-05	1.151466e+00
7.134003750712420e-05	1.152015e+00
7.244359600749756e-05	1.152565e+00
7.356422544596265e-05	1.153114e+00
7.470218989273166e-05	1.153663e+00
7.585775750291684e-05	1.154213e+00
7.703120057971990e-05	1.154762e+00
7.822279563859866e-05	1.155312e+00
7.943282347242653e-05	1.155861e+00
8.066156921765969e-05	1.156410e+00
8.190932242152805e-05	1.156960e+00
8.317637711026540e-05	1.157509e+00
8.446303185839512e-05	1.158059e+00
8.576958985908765e-05	1.158608e+00
8.709635899560627e-05	1.159158e+00
8.844365191385814e-05	1.159707e+00
8.981178609606759e-05	1.160257e+00
9.120108393558908e-05	1.160806e+00
9.261187281287742e-05	1.161356e+00
9.404448517263320e-05	1.161905e+00
9.549925860214159e-05	1.162455e+00
9.697653591082288e-05	1.163005e+00
9.847666521101372e-05	1.163554e+00
9.999999999999786e-05	1.164104e+00
1.015468992433059e-04	1.164654e+00
1.031177274593033e-04	1.165203e+00
1.047128548050877e-04	1.165753e+00
1.063326571637138e-04	1.166303e+00
1.079775162327686e-04	1.166852e+00
1.096478196143161e-04	1.167402e+00
1.113439609062337e-04	1.167952e+00
1.130663397949614e-04	1.168502e+00
1.148153621496857e-04	1.169052e+00
1.165914401179806e-04	1.169602e+00
1.183949922229276e-04	1.170151e+00
1.202264434617386e-04	1.170701e+00
1.220862254059044e-04	1.171251e+00
1.239747763028917e-04	1.171801e+00
1.258925411794139e-04	1.172351e+00
1.278399719462995e-04	1.172901e+00
1.298175275049820e-04	1.173451e+00
1.318256738556377e-04	1.174001e+00
1.338648842069963e-04	1.174551e+00
1.359356390878495e-04	1.175102e+00
1.380384264602853e-04	1.175652e+00
1.401737418346738e-04	1.176202e+00
1.423420883864309e-04	1.176752e+00
1.445439770745894e-04	1.177302e+00
1.467799267622036e-04	1.177853e+00
1.490504643386162e-04	1.178403e+00
1.513561248436173e-04	1.178953e+00
1.536974515935236e-04	1.179503e+00
1.560749963092075e-04	1.180054e+00
1.584893192461077e-04	1.180604e+00
1.609409893262497e-04	1.181155e+00
1.634305842723099e-04	1.181705e+00
1.659586907437522e-04	1.182256e+00
1.685259044750712e-04	1.182806e+00
1.711328304161740e-04	1.183357e+00
1.737800828749334e-04	1.183907e+00
1.764682856619458e-04	1.184458e+00
1.791980722375291e-04	1.185009e+00
1.819700858609940e-04	1.185559e+00
1.847849797422246e-04	1.186110e+00
1.876434171956040e-04	1.186661e+00
1.905460717963201e-04	1.187212e+00
1.934936275390905e-04	1.187762e+00
1.964867789993420e-04	1.188313e+00
1.995262314968831e-04	1.188864e+00
2.026127012621094e-04	1.189415e+00
2.057469156047789e-04	1.189966e+00
2.089296130853988e-04	1.190517e+00
2.121615436892632e-04	1.191068e+00
2.154434690031830e-04	1.191619e+00
2.187761623949498e-04	1.192170e+00
2.221604091955756e-04	1.192722e+00
2.255970068843520e-04	1.193273e+00
2.290867652767716e-04	1.193824e+00
2.326305067153568e-04	1.194376e+00
2.362290662634402e-04	1.194927e+00
2.398832919019430e-04	1.195478e+00
2.435940447291965e-04	1.196030e+00
2.473621991638559e-04	1.196581e+00
2.511886431509516e-04	1.197133e+00
2.550742783711294e-04	1.197684e+00
2.590200204531257e-04	1.198236e+00
2.630267991895314e-04	1.198788e+00
2.670955587558916e-04	1.199340e+00
2.712272579331958e-04	1.199891e+00
2.754228703338095e-04	1.200443e+00
2.796833846309004e-04	1.200995e+00
2.840098047914141e-04	1.201547e+00
2.884031503126530e-04	1.202099e+00
2.928644564625159e-04	1.202651e+00
2.973947745234527e-04	1.203203e+00
3.019951720401936e-04	1.203756e+00
3.066667330713101e-04	1.204308e+00
3.114105584446677e-04	1.204860e+00
3.162277660168295e-04	1.205413e+00
3.211194909364737e-04	1.205965e+00
3.260868859118846e-04	1.206518e+00
3.311311214825822e-04	1.207070e+00
3.362533862951536e-04	1.207623e+00
3.414548873833509e-04	1.208176e+00
3.467368504525223e-04	1.208728e+00
3.521005201684424e-04	1.209281e+00
3.575471604506116e-04	1.209834e+00
3.630780547700914e-04	1.210387e+00
3.686945064519475e-04	1.210940e+00
3.743978389823709e-04	1.211493e+00
3.801893963205508e-04	1.212046e+00
3.860705432153707e-04	1.212600e+00
3.920426655270044e-04	1.213153e+00
3.981071705534862e-04	1.213706e+00
4.042654873623331e-04	1.214260e+00
4.105190671272965e-04	1.214813e+00
4.168693834703238e-04	1.215367e+00
4.233179328088090e-04	1.215921e+00
4.298662347082156e-04	1.216475e+00
4.365158322401537e-04	1.217028e+00
4.432682923459963e-04	1.217582e+00
4.501252062061209e-04	1.218137e+00
4.570881896148621e-04	1.218691e+00
4.641588833612647e-04	1.219245e+00
4.713389536157271e-04	1.219799e+00
4.786300923226247e-04	1.220354e+00
4.860340175990079e-04	1.220908e+00
4.935524741394665e-04	1.221463e+00
5.011872336272579e-04	1.222018e+00
5.089400951517944e-04	1.222572e+00
5.168128856325886e-04	1.223127e+00
5.248074602497574e-04	1.223682e+00
5.329257028811850e-04	1.224237e+00
5.411695265464479e-04	1.224793e+00
5.495408738576085e-04	1.225348e+00
5.580417174769802e-04	1.225904e+00
5.666740605819746e-04	1.226459e+00
5.754399373371401e-04	1.227015e+00
5.843414133735004e-04	1.227570e+00
5.933805862753104e-04	1.228126e+00
6.025595860743399e-04	1.228682e+00
6.118805757518038e-04	1.229238e+00
6.213457517480573e-04	1.229795e+00
6.309573444801746e-04	1.230351e+00
6.407176188675348e-04	1.230908e+00
6.506288748655379e-04	1.231464e+00
6.606934480075763e-04	1.232021e+00
6.709137099553912e-04	1.232578e+00
6.812920690579409e-04	1.233135e+00
6.918309709189157e-04	1.233692e+00
7.025328989730310e-04	1.234249e+00
7.134003750712347e-04	1.234806e+00
7.244359600749683e-04	1.235364e+00
7.356422544596192e-04	1.235922e+00
7.470218989273091e-04	1.236480e+00
7.585775750291608e-04	1.237037e+00
7.703120057971912e-04	1.237596e+00
7.822279563859788e-04	1.238154e+00
7.943282347242572e-04	1.238712e+00
8.066156921765887e-04	1.239271e+00
8.190932242152721e-04	1.239830e+00
8.317637711026454e-04	1.240388e+00
8.446303185839425e-04	1.240947e+00
8.576958985908676e-04	1.241507e+00
8.709635899560537e-04	1.242066e+00
8.844365191385722e-04	1.242626e+00
8.981178609606666e-04	1.243185e+00
9.120108393558813e-04	1.243745e+00
9.261187281287646e-04	1.244305e+00
9.404448517263223e-04	1.244866e+00
9.549925860214060e-04	1.245426e+00
9.697653591082188e-04	1.245987e+00
9.847666521101272e-04	1.246547e+00
9.999999999999684e-04	1.247108e+00
1.015468992433048e-03	1.247670e+00
1.031177274593022e-03	1.248231e+00
1.047128548050866e-03	1.248793e+00
1.063326571637127e-03	1.249354e+00
1.079775162327675e-03	1.249917e+00
1.096478196143150e-03	1.250479e+00
1.113439609062326e-03	1.251041e+00
1.130663397949603e-03	1.251604e+00
1.148153621496846e-03	1.252167e+00
1.165914401179794e-03	1.252730e+00
1.183949922229264e-03	1.253293e+00
1.202264434617374e-03	1.253857e+00
1.220862254059031e-03	1.254421e+00
1.239747763028904e-03	1.254984e+00
1.258925411794126e-03	1.255549e+00
1.278399719462982e-03	1.256113e+00
1.298175275049807e-03	1.256678e+00
1.318256738556364e-03	1.257243e+00
1.338648842069949e-03	1.257808e+00
1.359356390878481e-03	1.258374e+00
1.380384264602839e-03	1.258940e+00
1.401737418346724e-03	1.259506e+00
1.423420883864295e-03	1.260072e+00
1.445439770745880e-03	1.260639e+00
1.467799267622021e-03	1.261206e+00
1.490504643386147e-03	1.261773e+00
1.513561248436158e-03	1.262340e+00
1.536974515935220e-03	1.262908e+00
1.560749963092059e-03	1.263476e+00
1.584893192461061e-03	1.264045e+00
1.609409893262481e-03	1.264613e+00
1.634305842723083e-03	1.265182e+00
1.659586907437505e-03	1.265752e+00
1.685259044750694e-03	1.266321e+00
1.711328304161723e-03	1.266891e+00
1.737800828749317e-03	1.267462e+00
1.764682856619440e-03	1.268032e+00
1.791980722375273e-03	1.268603e+00
